pair,threshold,cost_bucket,trades,profit_factor,expectancy,sharpe,max_drawdown,win_rate,total_return,gross_return,total_fees,total_slippage,total_funding,total_execution_risk,total_partial_fill_cost,observations,passes_trade_gate,passes_quality_gate
BTC-USD-SOL-USD,2.25,base,23,0.5032649306231529,-0.0032007966482539034,-0.6614147374935996,0.12418564919190096,0.391304347826087,-0.0751657665948281,-0.022570265452052096,0.022500000000000003,0.018000000000000002,0.005362744791666667,0.009000000000000001,0.00045000000000000004,12000,False,False
BTC-USD-SOL-USD,2.25,stress,23,0.3558792113428384,-0.004863840126514774,-0.9970408327115803,0.1424130862567779,0.30434782608695654,-0.10993821182865471,-0.022570265452052096,0.03375,0.036000000000000004,0.005362744791666667,0.018000000000000002,0.00045000000000000004,12000,False,False
BTC-USD-ETH-USD,2.25,base,23,0.2837697558553078,-0.004020411776452774,-1.2217460151950448,0.10357986720198546,0.34782608695652173,-0.09022822168248934,-0.0386866183632637,0.022500000000000003,0.018000000000000002,0.005123281250000001,0.009000000000000001,0.00045000000000000004,12000,False,False
BTC-USD-ETH-USD,2.25,stress,23,0.15170692865604093,-0.005683455254713646,-1.6875427998675165,0.12459353802631823,0.2608695652173913,-0.12445734943323228,-0.0386866183632637,0.03375,0.036000000000000004,0.005123281250000001,0.018000000000000002,0.00045000000000000004,12000,False,False
ETH-USD-SOL-USD,1.0,base,20,0.6361940991558696,-0.0014229386795481139,-0.9457303778580716,0.07293379508133757,0.2,-0.02882216620145206,0.017337790299066125,0.0195,0.015600000000000001,0.0031158776041666668,0.0078000000000000005,0.00039000000000000005,5041,False,False
ETH-USD-SOL-USD,1.0,stress,20,0.4179622044797796,-0.0030804386795481144,-1.9438185198566589,0.09547412160635071,0.15,-0.060570299223658086,0.017337790299066125,0.029249999999999998,0.031200000000000002,0.0031158776041666668,0.015600000000000001,0.00039000000000000005,5041,False,False
ETH-USD-LINK-USD,1.0,base,20,0.26400478361543894,-0.005263654687386803,-4.0333061448426095,0.10321707894620358,0.2,-0.10260731880953267,-0.06202243255541817,0.019500000000000003,0.015600000000000003,0.0008147376578458991,0.007800000000000001,0.00039000000000000005,1000,False,False
BTC-USD-ETH-USD,1.0,base,20,0.2296240376958321,-0.0030608823788412444,-2.551693229262216,0.07072265572804451,0.35,-0.059852227680767145,-0.014478470584332714,0.0195,0.015600000000000001,0.0038162916666666666,0.0078000000000000005,0.00039000000000000005,5043,False,False
ETH-USD-LINK-USD,1.0,stress,20,0.19111733086680727,-0.006921154687386803,-5.169393426995194,0.13259901620508252,0.1,-0.13200923407385556,-0.06202243255541817,0.029249999999999998,0.031200000000000006,0.0008147376578458991,0.015600000000000003,0.00039000000000000005,1000,False,False
BTC-USD-ETH-USD,1.0,stress,20,0.10248540538960157,-0.004718382378841245,-3.637480410843951,0.09283842346050153,0.2,-0.09058490997155921,-0.014478470584332714,0.029250000000000005,0.031200000000000002,0.0038162916666666666,0.015600000000000001,0.00039000000000000005,5043,False,False
ETH-USD-SOL-USD,1.25,base,18,0.9135851994177614,-0.0003444325604992957,-0.20657813375885867,0.06262445552992275,0.3333333333333333,-0.006958079902308456,0.03562822956557277,0.017499999999999998,0.014000000000000002,0.0031158776041666668,0.007000000000000001,0.00035000000000000005,5041,False,False
